fat	adj. 肥胖的 n. 脂肪
melt	v. 融化
situation	n. 情况
explore	v. 探索
believe	v. 相信；认为
comfort	n. 安慰；舒适
colleague	n. 同事
annoy	v. 使恼怒；打扰
flowchart	n. 流程图
over	prep. 在...上方；结束
suit	n. 西装 v. 适合
include	v. 包括
herb	n. 草药
tap	n. 水龙头 v. 轻拍
leisure	n. 闲暇
content	n. 内容 adj. 满意的
raise	v. 举起；抚养
awake	adj. 醒着的 v. 唤醒
he	pron. 他
sportswear	n. 运动装
ten	num. 十
significant	adj. 重要的；显著的
joint	n. 关节 adj. 联合的
broken	adj. 破碎的；损坏的
surf	v. 冲浪；浏览
pipe	n. 管子
here	adv. 这里
pursue	v. 追求
definition	n. 定义
treasure	n. 宝藏；财富
aware	adj. 意识到的；知道的
salt	n. 盐
notebook	n. 笔记本
hip-hop	n. 嘻哈
jump	v. 跳
child	n. 孩子
headphone	n. 耳机
realistic	adj. 现实的
dull	adj. 枯燥的；迟钝的
mate	n. 伙伴；配偶
twin	n. 双胞胎
last	adj. 最后的 v. 持续
ripe	adj. 成熟的
run	v. 跑；经营
scissors	n. 剪刀
narrow	adj. 狭窄的
form	n. 形式；表格 v. 形成
giraffe	n. 长颈鹿
silver	n. 银
calligraphy	n. 书法
basic	adj. 基本的
camera	n. 照相机
polish	v. 磨光
beard	n. 胡须
goods	n. 商品
violence	n. 暴力
destroy	v. 破坏；毁坏
stair	n. 楼梯
bear	v. 忍受；承担 n. 熊
fluent	adj. 流利的
policeman/policewoman	n. 男/女警察
decent	adj. 体面的；正派的
file	n. 文件 v. 归档
intense	adj. 强烈的
shirt	n. 衬衫
fiction	n. 小说；虚构
quarter	n. 四分之一；一刻钟
thread	n. 线
rest	n. 休息；剩余部分
blue	adj. 蓝色的；忧郁的
fish	n. 鱼 v. 钓鱼
request	n./v. 请求
trend	n. 趋势
canteen	n. 食堂
access	n. 通路；进入权 v. 存取
ship	n. 船
them	pron. 他们(宾格)
diagram	n. 图表；示意图
gentle	adj. 温和的
ignore	v. 忽视
liberty	n. 自由
next	adj./adv. 下一个
best	adj. 最好的 adv. 最好地
glass	n. 玻璃；杯子
anticipate	v. 预期；预料
drag	v. 拖；拉
account	n. 账户；解释；账目
regardless	adv. 不管
staff	n. 全体员工
rent	v. 租用 n. 租金
shake	v. 摇动；颤抖
exchange	v./n. 交换
during	prep. 在...期间
attend	v. 出席；参加；照料
medical	adj. 医学的
forum	n. 论坛
ballet	n. 芭蕾舞
hairdresser	n. 理发师
magazine	n. 杂志
manage	v. 管理；设法做
sorry	adj. 对不起的
vase	n. 花瓶
thief	n. 小偷
kick	v./n. 踢
forever	adv. 永远
increase	v. 增加
strawberry	n. 草莓
career	n. 职业；生涯
deep	adj. 深的 adv. 深深地
purchase	v. 购买
bury	v. 埋葬
perhaps	adv. 也许
realize	v. 意识到；实现
target	n. 目标
offer	v. 提供
build	v. 建造；建立
traffic	n. 交通
birthday	n. 生日
curry	n. 咖喱
gain	v. 获得；增加 n. 增益
standard	n. 标准
moral	adj. 道德的
concert	n. 音乐会
venue	n. 聚会地点；场馆
handwriting	n. 书法；笔迹
wheel	n. 轮子
although	conj. 虽然；尽管
mushroom	n. 蘑菇
backwards	adv. 向后；倒退地
statue	n. 雕像
under	prep. 在...下面
determine	v. 决定；确定
mission	n. 任务
aluminium	n. 铝
when	adv. 什么时候 conj. 当...时
easy	adj. 容易的
valley	n. 山谷
being	n. 存在；生物
could	v. 能 (can过去式)
art	n. 艺术；美术
integrate	v. 整合
fill	v. 装满
pool	n. 水池
museum	n. 博物馆
bond	n. 纽带；债券
mature	adj. 成熟的
schoolbag	n. 书包
bay	n. 湾；海湾
toast	n. 烤面包；干杯
carrot	n. 胡萝卜
rhyme	n. 韵脚
naughty	adj. 淘气的
public	adj. 公共的
purse	n. 钱包
nearby	adj./adv. 附近
behalf	n. 利益；代表
wide	adj. 宽的
worthy	adj. 值得的；配得上的
fence	n. 栅栏
short	adj. 短的；矮的
tolerate	v. 容忍
cat	n. 猫
ride	v. 骑；乘
appointment	n. 约会；任命
weapon	n. 武器
granny	n. 奶奶；外婆
necessary	adj. 必要的
smell	v. 闻 n. 气味
omelette	n. 煎蛋卷
despite	prep. 尽管
command	n./v. 命令
comprehensive	adj. 全面的
murder	n./v. 谋杀
technique	n. 技巧
billion	num. 十亿
minister	n. 部长；牧师
tight	adj. 紧的
competence	n. 能力
few	adj. 很少的
grammar	n. 语法
technology	n. 技术
who	pron. 谁
food	n. 食物
series	n. 系列
pattern	n. 模式；图案
toothpaste	n. 牙膏
human	n. 人类 adj. 人类的
serious	adj. 严肃的；严重的
illegal	adj. 非法的
submit	v. 提交；屈服
customer	n. 顾客
meanwhile	adv. 与此同时
emergency	n. 紧急情况
dorm/dormitory	n. 宿舍
rap	n. 说唱乐
forehead	n. 前额
listen	v. 听
regard	v. 看待 n. 问候
dinosaur	n. 恐龙
motor	n. 马达
compare	v. 比较
common	adj. 共同的；普通的
disappear	v. 消失
meal	n. 一餐
champion	n. 冠军
west	n. 西方
score	n. 分数 v. 得分
recycle	v. 回收利用
violin	n. 小提琴
make	v. 制造；使得
drama	n. 戏剧
nervous	adj. 紧张的
ambition	n. 雄心；野心
minor	adj. 次要的
meet	v. 遇见；满足
postcard	n. 明信片
detail	n. 细节
poison	n. 毒药
impress	v. 给...留下印象
picnic	n. 野餐
giant	n. 巨人 adj. 巨大的
mountain	n. 山
precisely	adv. 精确地
liquid	n. 液体
donate	v. 捐赠
panic	n./v. 恐慌
cow	n. 母牛
produce	v. 生产
assign	v. 分配；指派
distinguish	v. 区分；辨别
crossroads	n. 十字路口
comprise	v. 包含；由...组成
desert	n. 沙漠 v. 抛弃
justice	n. 正义
authority	n. 权威；当局；权力
upon	prep. 在...之上
random	adj. 随机的
flow	v./n. 流动
belt	n. 腰带；皮带
wild	adj. 野生的
signal	n. 信号
pasta	n. 意大利面
extremely	adv. 极端地
language	n. 语言
frank	adj. 坦率的
assume	v. 假设；承担；认为
cook	v. 煮 n. 厨师
noon	n. 中午
tear	n. 眼泪 v. 撕碎
frighten	v. 使惊吓
respective	adj. 分别的
fog	n. 雾
time	n. 时间；次数
steward	n. 乘务员；管家
airline	n. 航空公司
alike	adj. 相似的 adv. 同样地
detect	v. 察觉；侦查
hair	n. 头发
hire	v. 雇用
large	adj. 大的
claim	v./n. 声称；索赔
current	adj. 当前的 n. 水流
cry	v. 哭；叫喊
bake	v. 烘烤；焙
scare	v. 惊吓
withdraw	v. 撤回；取款
justify	v. 证明...是正当的
miracle	n. 奇迹
learn	v. 学习
needle	n. 针
hate	v. 讨厌
friction	n. 摩擦
especially	adv. 特别；尤其
wallet	n. 钱包
table	n. 桌子；表格
hockey	n. 曲棍球
today	n. 今天
replace	v. 替换
future	n. 未来
philosophy	n. 哲学
full	adj. 满的
chef	n. 厨师
fond	adj. 喜欢的
salad	n. 沙拉
ache	v./n. 疼痛；渴望
scream	v./n. 尖叫
sight	n. 视力；景象
stone	n. 石头
invite	v. 邀请
outgoing	adj. 外向的
professor	n. 教授
penny	n. 便士
dream	n./v. 梦；梦想
compete	v. 竞争
smart	adj. 聪明的；时髦的
per	prep. 每
explain	v. 解释
trail	n. 小径；痕迹
pour	v. 倾倒
though	conj. 虽然
barrier	n. 障碍；屏障
package	n. 包裹
adjust	v. 调整；调节；适应
starve	v. 挨饿
talk	v./n. 谈话
around	prep. 在周围 adv. 大约
suburb	n. 郊区
snowboarding	n. 单板滑雪
bend	v. 弯曲 n. 弯管
contrary	adj. 相反的
oil	n. 油
confidence	n. 自信；信任
antique	n. 古董 adj. 古老的
recite	v. 背诵
exhibition	n. 展览
essay	n. 随笔；文章
cheap	adj. 便宜的
consider	v. 考虑；认为
matter	n. 事情 v. 要紧
temple	n. 寺庙
emerge	v. 出现；浮现
whose	pron. 谁的
comedy	n. 喜剧
whether	conj. 是否
medicine	n. 药；医学
harvest	n./v. 收获
market	n. 市场
criterion	n. 标准
schedule	n. 时刻表；日程
alongside	prep. 在旁边；与...并肩
protect	v. 保护
neither	adv. 也不
travel	v./n. 旅行
cattle	n. 牛
nod	v. 点头
pessimistic	adj. 悲观的
obvious	adj. 明显的
engineer	n. 工程师
trap	n. 陷阱 v. 诱捕
shower	n. 淋浴；阵雨
dive	v. 潜水；跳水
appear	v. 出现；显得；似乎
candidate	n. 候选人
pretend	v. 假装
football	n. 足球
use	v./n. 使用
autumn/fall	n. 秋天
upper	adj. 上面的
postpone	v. 推迟
exceptional	adj. 例外的；杰出的
tea	n. 茶
sky	n. 天空
cave	n. 洞穴
cream	n. 奶油
unusual	adj. 不寻常的
bottle	n. 瓶子
moreover	adv. 而且
routine	n. 常规
fridge/refrigerator	n. 冰箱
waterproof	adj. 防水的
famous	adj. 著名的
ensure	v. 确保
mild	adj. 温和的
load	n. 负荷 v. 装载
reflect	v. 反射；反映
question	n. 问题 v. 质疑
way	n. 道路；方式
whole	adj. 整个的
chew	v. 咀嚼
facility	n. 设施；设备
extent	n. 程度；范围
hers	pron. 她的(东西)
service	n. 服务
slim	adj. 苗条的
interpret	v. 解释；口译
mayor	n. 市长
promise	v./n. 承诺
result	n. 结果
ill	adj. 生病的
initiative	n. 主动性；倡议
universe	n. 宇宙
edge	n. 边缘；优势
appropriate	adj. 适当的；恰当的
statistic	n. 统计数值
defend	v. 保卫；辩护
spit	v. 吐痰
suite	n. 套房
handmade	adj. 手工的
fragile	adj. 易碎的；脆弱的
note	n. 笔记；便条
post	n. 邮政 v. 张贴
clay	n. 黏土
thank	v. 感谢
envy	v./n. 羡慕；嫉妒
burger	n. 汉堡包
bounce	v. 弹跳；反弹
vocation	n. 职业；天职
acknowledge	v. 承认；致谢；确认收到
uncle	n. 叔叔；舅舅
girl	n. 女孩
insight	n. 洞察力
belong	v. 属于
busy	adj. 忙碌的
fund	n. 基金 v. 资助
sidewalk	n. 人行道
wrinkle	n. 皱纹
zoom	v. 快速移动；(镜头)拉近/远
royal	adj. 皇室的
dominate	v. 支配；控制
nice	adj. 美好的
day	n. 一天；白天
consult	v. 咨询
crisis	n. 危机
rugby	n. 橄榄球
sink	v. 下沉 n. 水槽
crazy	adj. 疯狂的
plural	adj. 复数的
daughter	n. 女儿
leaf	n. 叶子
petrol	n. 汽油
cover	v. 覆盖 n. 封面
transfer	v. 转移；转账
radio	n. 收音机
part	n. 部分
fortune	n. 财富；运气
troop	n. 部队
silly	adj. 愚蠢的
since	prep./conj. 自从；因为
congratulation	n. 祝贺
curtain	n. 窗帘
mental	adj. 精神的
recommend	v. 推荐
sample	n. 样品
perspective	n. 视角
motorbike	n. 摩托车
forgive	v. 原谅
sympathy	n. 同情
poll	n. 民意测验
skateboard	n. 滑板
flash	v. 闪光 n. 闪光灯
popular	adj. 受欢迎的
clown	n. 小丑
rather	adv. 宁愿；相当
hydrogen	n. 氢
headteacher	n. 校长
hat	n. 帽子
light	n. 光 adj. 轻的
scarf	n. 围巾
number	n. 数字
sure	adj. 确定的
dynamic	adj. 充满活力的；动态的
eliminate	v. 消除；淘汰
preserve	v. 保护；保存
harmony	n. 和谐
E-hailing	n. 网约车
widespread	adj. 分布广泛的
example	n. 例子
appeal	v./n. 呼吁；吸引力；上诉
upstairs	adv. 在楼上
menu	n. 菜单
pass	v. 通过；传递
extend	v. 延伸；扩大
phrase	n. 短语
pea	n. 豌豆
lane	n. 车道；小巷
democratic	adj. 民主的
kindergarten	n. 幼儿园
passive	adj. 被动的
pen	n. 钢笔
nose	n. 鼻子
loan	n. 贷款
adorable	adj. 可爱的；讨人喜欢的
profession	n. 职业
cheek	n. 脸颊
fist	n. 拳头
state	n. 状态；州 v. 陈述
head	n. 头
frost	n. 霜
alive	adj. 活着的；有活力的
taste	n. 味道 v. 品尝
while	conj. 当...的时候；然而
cooperate	v. 合作
moon	n. 月亮
swear	v. 发誓
where	adv. 在哪里
repeat	v. 重复
visual	adj. 视觉的
wage	n. 工资
ease	n. 舒适 v. 减轻
holiday	n. 假期
café	n. 咖啡馆
dare	v. 敢
people	n. 人们
kite	n. 风筝
sale	n. 出售；特卖
work	n. 工作 v. 工作
formal	adj. 正式的
blank	adj. 空白的 n. 空白处
orange	n. 橙子
host/hostess	n. 主人/女主人
passenger	n. 乘客
company	n. 公司；陪伴
delay	v./n. 延迟
noble	adj. 高尚的
handsome	adj. 英俊的
steak	n. 牛排
advertise	v. 做广告；登广告
informal	adj. 非正式的
moment	n. 片刻
the	art. 这；那
project	n. 项目 v. 投射
businessman/businesswoman	n. 商人/女商人
roll	v. 滚动 n. 卷
laundry	n. 洗衣店；待洗衣物
challenge	n./v. 挑战
hello	int. 你好
trousers	n. 裤子
sightseeing	n. 观光
initial	adj. 最初的
relative	n. 亲戚 adj. 相对的
awkward	adj. 尴尬的；笨拙的
plate	n. 盘子
gallery	n. 画廊；美术馆
function	n. 功能 v. 运行
win	v. 赢
grade	n. 年级；等级
shame	n. 羞耻；遗憾
left	adj. 左边的 adv. 向左
dark	adj. 黑暗的；深色的
they	pron. 他们
persuade	v. 说服
belief	n. 信仰；信念
lamb	n. 羔羊；羊肉
gene	n. 基因
brief	adj. 简短的
king	n. 国王
feature	n. 特征；容貌 v. 以...为特色
paper	n. 纸
maintain	v. 维持；保养
gravity	n. 重力
civilisation	n. 文明
PC/personal computer	n. 个人电脑
daily	adj. 每日的 adv. 每天
stretch	v. 伸展
dragon	n. 龙
drop	v. 落下；放弃 n. 滴
but	conj. 但是 prep. 除了
executive	n. 主管 adj. 执行的
match	n. 比赛；火柴 v. 相配
double	adj. 双倍的 v. 加倍
keep	v. 保持
dialogue	n. 对话
virtue	n. 美德
delicious	adj. 美味的
shock	n./v. 震惊；休克
delete	v. 删除
female	adj. 女性的 n. 女性
quality	n. 质量
come	v. 来
zone	n. 区域；地带
ambulance	n. 救护车
candy	n. 糖果
occupy	v. 占据
house	n. 房子
button	n. 按钮；扣子
beef	n. 牛肉
rural	adj. 乡村的
push	v. 推
nature	n. 自然；本性
timid	adj. 胆小的
indeed	adv. 的确
trace	n. 痕迹 v. 追踪
coach	n. 教练；长途大巴
slip	v. 滑倒
shade	n. 阴凉处；色度
air	n. 空气；天空
annual	adj. 每年的；年度的
status	n. 地位；状态
sir	n. 先生
pudding	n. 布丁
ask	v. 问；要求；邀请
normal	adj. 正常的
difficult	adj. 困难的
chop	v. 砍；切
awesome	adj. 极好的；令人敬畏的
type	n. 类型 v. 打字
stupid	adj. 愚蠢的
sculpture	n. 雕塑
mud	n. 泥
relief	n. 缓解；宽慰
hold	v. 握住；举办
blood	n. 血
safety	n. 安全
ground	n. 地面
you	pron. 你；你们
skip	v. 跳过
bound	adj. 一定的；受约束的
embarrassed	adj. 尴尬的
tie	n. 领带 v. 系
asleep	adj. 睡着的
thunderstorm	n. 雷暴
break	v. 打破；休息 n. 休息
yellow	adj. 黄色的
graduate	v. 毕业 n. 毕业生
hurry	v./n. 匆忙
minus	prep. 减去
shop	n. 商店 v. 购物
classroom	n. 教室
flexible	adj. 灵活的
once	adv. 一次；曾经
million	num. 百万
cancer	n. 癌症
real	adj. 真实的
literary	adj. 文学的
necklace	n. 项链
towards	prep. 朝向
keen	adj. 热心的；敏锐的
stadium	n. 体育场
district	n. 地区；行政区
supermarket	n. 超市
vivid	adj. 生动的
grain	n. 谷物；颗粒
talent	n. 天赋
physics	n. 物理
mug	n. 马克杯
borrow	v. 借入
word	n. 单词；话语
via	prep. 经由
rainbow	n. 彩虹
aim	n. 目标 v. 瞄准；旨在
luck	n. 运气
firm	n. 公司 adj. 坚固的
melon	n. 甜瓜
conduct	n. 行为 v. 指挥
weather	n. 天气
transport	n. 运输 v. 传送
afraid	adj. 害怕的；担心的
pause	v./n. 暂停
count	v. 数数
ban	v. 禁止 n. 禁令
awful	adj. 糟糕的；可怕的
invoice	n. 发票
write	v. 写
imply	v. 暗示
probably	adv. 大概
pity	n. 遗憾
than	prep. 比
bank	n. 银行；岸
register	v. 登记；注册
kill	v. 杀死
bar	n. 酒吧；条，棒
pronounce	v. 发音
huge	adj. 巨大的
tip	n. 小费；尖端
also	adv. 也；而且
away	adv. 离开；远离
bleed	v. 流血
elsewhere	adv. 在别处
secondary	adj. 中等的；次要的
anymore	adv. (不)再；再也不
indicate	v. 指示；表明
race	n. 比赛；种族
bit	n. 一点；少量
machine	n. 机器
story	n. 故事
really	adv. 真正地
yard	n. 院子；码
astronaut	n. 宇航员
elder	adj. 年长的 n. 长者
civilian	n. 平民
flu	n. 流感
bitter	adj. 苦的；痛苦的
respond	v. 回应
headache	n. 头痛
former	adj. 以前的
consist	v. 组成 (与of连用)
pig	n. 猪
credit	n. 信用；学分
church	n. 教堂
cite	v. 引用
garden	n. 花园
visit	v./n. 参观；访问
son	n. 儿子
piano	n. 钢琴
opponent	n. 对手
page	n. 页
blow	v. 吹；打击
duration	n. 持续时间
study	v./n. 学习；研究
chore	n. 杂务
award	n. 奖品 v. 授予；颁发
paragraph	n. 段落
oppose	v. 反对
read	v. 阅读
sleep	v./n. 睡觉
motion	n. 运动
grand	adj. 宏伟的；重大的
mine	pron. 我的 n. 矿
enter	v. 进入
o'clock	adv. ...点钟
wake	v. 醒来
course	n. 课程；过程
courage	n. 勇气
active	adj. 活跃的；积极的
piece	n. 一块
lightning	n. 闪电
rush	v./n. 冲；匆忙
lunch	n. 午餐
expert	n. 专家
watermelon	n. 西瓜
multiple	adj. 多样的
master	n. 主人；大师 v. 精通
desperate	adj. 绝望的；拼命的
we	pron. 我们
wipe	v. 擦
proud	adj. 自豪的
handbag	n. 手提包
physician	n. 医师
object	n. 物体；目标 v. 反对
lack	v./n. 缺乏
alert	adj. 警觉的 n. 警报
kilometre	n. 千米
bright	adj. 明亮的；聪明的
progress	n./v. 进步
new	adj. 新的
gym/gymnasium	n. 体育馆；健身房
month	n. 月
launch	v. 发射；发起
rabbit	n. 兔子
usual	adj. 通常的
sausage	n. 香肠
confirm	v. 确认
attach	v. 贴上；系上；附加
coffee	n. 咖啡
rub	v. 摩擦
humorous	adj. 幽默的
hatch	v. 孵化
accurate	adj. 精确的；准确的
accomplish	v. 完成；实现
arrive	v. 到达
strict	adj. 严格的
US	n. 美国
fall	v. 落下 n. 秋天；瀑布
turn	v. 转动；变成 n. 轮流
big	adj. 大的
junior	adj. 初级的；年少的
update	v./n. 更新
jacket	n. 夹克
gift	n. 礼物；天赋
radium	n. 镭
bedroom	n. 卧室
press	v. 按 n. 出版社
ray	n. 光线
top	n. 顶部
abuse	v./n. 滥用；虐待；辱骂
insect	n. 昆虫
onion	n. 洋葱
these	pron. 这些
stomach	n. 胃
answer	v./n. 回答；答案
discover	v. 发现
super	adj. 超级的
marry	v. 结婚
constant	adj. 持续的 n. 常数
unique	adj. 唯一的；独特的
condition	n. 条件；状况
guide	n. 向导 v. 指引
tool	n. 工具
approve	v. 批准；赞成
portion	n. 一部分
leg	n. 腿
glory	n. 荣耀
province	n. 省
chat	v./n. 聊天
amateur	n. 业余爱好者 adj. 业余的
gold	n. 金子 adj. 金色的
captain	n. 队长；船长
divide	v. 分开；除
factory	n. 工厂
electricity	n. 电
diverse	adj. 多样的
classmate	n. 同学
sunglasses	n. 太阳镜
teach	v. 教
except	prep. 除了
factor	n. 因素
must	v. 必须
own	adj. 自己的 v. 拥有
assistant	n. 助手；助理
sheet	n. 床单；一张(纸)
horrible	adj. 可怕的
cheer	v. 欢呼；喝彩
tend	v. 倾向；照料
lady	n. 女士
suspect	v. 怀疑 n. 嫌疑犯
dirty	adj. 脏的
tough	adj. 强硬的；困难的
major	adj. 主要的 n. 专业
steam	n. 蒸汽
motive	n. 动机
those	pron. 那些
underline	v. 在...下面划线；强调
cure	v. 治愈
stomachache	n. 胃痛
lawn	n. 草坪
excite	v. 使兴奋
cute	adj. 可爱的
tube	n. 管子；地铁
somewhere	adv. 在某处
insurance	n. 保险
rule	n. 规则 v. 统治
no	adv. 不
money	n. 钱
deliver	v. 递送；发表(演讲)
chapter	n. 章节
typhoon	n. 台风
united	adj. 联合的
defeat	v./n. 击败
sneaker	n. 运动鞋
auto/automobile	n. 汽车
may	v. 可能；可以
suffer	v. 遭受；忍受
instead	adv. 代替
category	n. 种类；范畴
decline	v. 下降；拒绝
chance	n. 机会
brake	n. 刹车 v. 刹车
greenhouse	n. 温室
ordinary	adj. 普通的
provide	v. 提供
banana	n. 香蕉
long	adj. 长的 v. 渴望
frame	n. 框架
Olympic	adj. 奥林匹克的
until/till	conj. 直到
bench	n. 长凳；工作台
feel	v. 感觉
inspection	n. 检查
fair	adj. 公平的；美丽的 n. 集市
gender	n. 性别
neck	n. 脖子
path	n. 小路
thirsty	adj. 口渴的
precaution	n. 预防措施
death	n. 死亡
corner	n. 角落
minute	n. 分钟
basketball	n. 篮球
disable	v. 使丧失能力；使残废
foreign	adj. 外国的
strait	n. 海峡
yoghurt	n. 酸奶
everywhere	adv. 到处
vitamin	n. 维生素
waist	n. 腰
enemy	n. 敌人
movie	n. 电影
accompany	v. 陪伴；伴奏
neighbour	n. 邻居
intelligent	adj. 聪明的
grey	adj. 灰色的
furniture	n. 家具
knife	n. 刀
pizza	n. 披萨
citizen	n. 公民
seldom	adv. 很少
dumpling	n. 饺子
stream	n. 溪流
what	pron. 什么
comb	n. 梳子 v. 梳
notice	n. 通知 v. 注意到
elect	v. 选举
such	adj. 这样的
amendment	n. 修正案；修改
wall	n. 墙
missing	adj. 失踪的
actually	adv. 实际上；事实上
mouse	n. 老鼠
minimum	n. 最小值
symbol	n. 象征；符号
diary	n. 日记
stick	v. 粘贴 n. 棍子
sun	n. 太阳
gallon	n. 加仑
bomb	n. 炸弹 v. 轰炸
species	n. 物种
complaint	n. 投诉
straightforward	adj. 直截了当的
text	n. 文本；课文
product	n. 产品
plane/aeroplane	n. 飞机
domain	n. 领域；领土
birth	n. 出生
rice	n. 米饭
local	adj. 当地的
glue	n. 胶水
subscribe	v. 订阅
behave	v. 表现；举止
inquire	v. 询问
ecology	n. 生态学
lid	n. 盖子
breast	n. 胸部；乳房
union	n. 工会；联合
housewife	n. 家庭主妇
unit	n. 单元；单位
bring	v. 带来
muscle	n. 肌肉
bone	n. 骨头
habit	n. 习惯
downstairs	adv. 在楼下
weep	v. 哭泣
prime	adj. 首要的 n. 全盛时期
proper	adj. 适当的
family	n. 家庭
forget	v. 忘记
try	v. 尝试
sound	n. 声音 v. 听起来
sweep	v. 打扫
premier	n. 总理 adj. 首要的
purple	adj. 紫色的
punish	v. 惩罚
encourage	v. 鼓励
pair	n. 一对
labour	n. 劳动；劳工
eraser	n. 橡皮
essential	adj. 本质的；必要的
cup	n. 杯子
pilot	n. 飞行员
rise	v. 上升
invest	v. 投资
quantity	n. 数量
anyway	adv. 无论如何；总之
century	n. 世纪
particular	adj. 特别的
stir	v. 搅拌
lesson	n. 课；教训
fun	n. 乐趣 adj. 有趣的
beyond	prep. 超出；在...那一边
artificial	adj. 人造的；虚假的
brave	adj. 勇敢的
tank	n. 坦克；水箱
flight	n. 飞行；航班
vocabulary	n. 词汇
studio	n. 工作室
fresh	adj. 新鲜的
unable	adj. 不能的
breakfast	n. 早餐
bird	n. 鸟
range	n. 范围
serve	v. 服务；上菜
value	n. 价值 v. 估价
option	n. 选项
mop	n. 拖把
dessert	n. 甜点
tree	n. 树
campaign	n. 运动；战役
cloth	n. 布
suggest	v. 建议
region	n. 地区
deer	n. 鹿
wear	v. 穿；戴
immediately	adv. 立刻
agree	v. 同意；赞成
stock	n. 库存；股票
eat	v. 吃
hard	adj. 硬的；困难的 adv. 努力地
add	v. 增加；添加
discount	n. 折扣
kitchen	n. 厨房
length	n. 长度
negotiate	v. 谈判
assumption	n. 假设；设想
comment	n./v. 评论
cost	n. 成本 v. 花费
insert	v. 插入
from	prep. 来自
insist	v. 坚持
used	adj. 习惯的；旧的
background	n. 背景
resume	v. 恢复 n. 简历
organisation	n. 组织
yours	pron. 你的(东西)
luxury	n. 奢侈；豪华
liberation	n. 解放
goodbye	int. 再见
vast	adj. 巨大的
coat	n. 外套
live	v. 居住；生活 adj. 直播的
crowd	n. 人群
quiz	n. 测验
suppose	v. 猜想；假设
brochure	n. 小册子
sector	n. 部门；领域
greedy	adj. 贪婪的
argue	v. 争论；辩论
confuse	v. 使困惑
about	prep. 关于；大约 adv. 四处
tape	n. 磁带；胶带
literally	adv. 字面上地
advise	v. 建议；劝告
gas	n. 气体；汽油
automatic	adj. 自动的
handle	v. 处理 n.把手
fare	n. 车费；票价
geometry	n. 几何
conversation	n. 对话
control	v./n. 控制
along	prep. 沿着 adv. 向前
keyboard	n. 键盘
ocean	n. 海洋
angle	n. 角度；立场
main	adj. 主要的
because	conj. 因为
bat	n. 球拍；蝙蝠
numerous	adj. 众多的
protest	v./n. 抗议
offense	n. 冒犯；进攻
institution	n. 机构
capacity	n. 容量；能力
problem	n. 问题
everyone/everybody	pron. 每个人
sleeve	n. 袖子
practical	adj. 实际的
obtain	v. 获得
rich	adj. 富有的
style	n. 风格
forecast	v./n. 预测；预报
after	prep. 在...之后 conj. 在...以后
drum	n. 鼓
nation	n. 国家
reform	v./n. 改革
grant	v. 授予；准许
settle	v. 解决；定居
Christmas	n. 圣诞节
fear	n./v. 恐惧
skirt	n. 裙子
biscuit	n. 饼干
might	v. 可能
resource	n. 资源
Confucianism	n. 儒家思想
arrow	n. 箭；箭头
pie	n. 馅饼
ant	n. 蚂蚁
conference	n. 会议
recreation	n. 娱乐
drug	n. 药；毒品
pork	n. 猪肉
deficit	n. 赤字；亏损
I	pron. 我
fit	v. 适合 adj. 健康的
raincoat	n. 雨衣
predict	v. 预测
ham	n. 火腿
backache	n. 背痛；腰痛
student	n. 学生
create	v. 创造
lecture	n. 讲座
layer	n. 层
bike/bicycle	n. 自行车
kilo/kilogramme	n. 千克
gun	n. 枪
heat	n. 热 v. 加热
outside	prep./adv. 在外面
on	prep. 在...上面
finance	n. 金融；财政
tense	adj. 紧张的 n. 时态
click	v./n. 点击
can	v. 能；可以 n. 罐头
directory	n. 目录；通讯录
perfect	adj. 完美的
jazz	n. 爵士乐
afterwards	adv. 后来；以后
chemistry	n. 化学
complain	v. 抱怨
handkerchief	n. 手帕
amount	n. 数量 v. 总计
passport	n. 护照
amuse	v. 逗乐；给...提供娱乐
shy	adj. 害羞的
final	adj. 最后的 n. 决赛
admire	v. 钦佩；赞赏
speak	v. 说话
dad	n. 爸爸
queen	n. 女王
nest	n. 巢
into	prep. 进入...之中
wrestle	v. 摔跤；搏斗
bell	n. 钟；铃
a/an	art. 一个；一 (冠词)
enterprise	n. 企业；事业
fancy	adj. 花哨的 v. 想要
logical	adj. 逻辑的
rare	adj. 稀有的
member	n. 成员
choose	v. 选择
enthusiastic	adj. 热情的
their	pron. 他们的
youth	n. 青春；青年
favourite	adj. 最喜欢的 n. 特别喜欢的人或物
better	adj. 更好的 adv. 更好
apartment	n. 公寓
beside	prep. 在旁边
river	n. 河流
tender	adj. 温柔的
tooth	n. 牙齿
window	n. 窗户
across	prep./adv. 穿过；横过
less	adj. 更少的
balloon	n. 气球
mirror	n. 镜子
external	adj. 外部的
decrease	v. 减少
reserve	v. 预订；保留
down	adv. 向下 prep. 沿着...而下
cart	n. 手推车
refer	v. 提及；参考
cold	adj. 冷的 n. 感冒
dentist	n. 牙医
habitat	n. 栖息地
countryside	n. 乡村
whom	pron. 谁(宾格)
too	adv. 也；太
level	n. 水平；级别
ladder	n. 梯子
figure	n. 数字；人物；身材 v. 计算
roof	n. 屋顶
origin	n. 起源
she	pron. 她
display	v./n. 展示；显示
remote	adj. 遥远的
co-worker	n. 同事
corporation	n. 公司
free	adj. 自由的；免费的
behaviour	n. 行为；举止
force	n. 力量 v. 强迫
soldier	n. 士兵
second	num. 第二 n. 秒
pride	n. 骄傲
